Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000100	0.993608	1.067257	59.000000	72.000000	
0.000100	1.007610	1.034874	52.000000	50.000000	
0.000100	1.018164	1.034712	52.000000	50.000000	
0.000100	0.966579	1.053351	59.000000	48.000000	
0.000100	1.006443	1.047561	55.000000	46.000000	
0.000100	0.985174	1.059916	59.000000	44.000000	
0.000100	0.996508	1.084052	52.000000	38.000000	
0.000100	1.012994	1.062619	54.000000	45.000000	
0.000100	0.931706	1.039542	64.000000	45.000000	
0.000100	1.029108	1.012859	51.000000	49.000000	
0.000100	0.986254	1.057459	53.000000	50.000000	
0.000100	0.952223	1.018163	58.000000	45.000000	
0.000100	0.998996	1.031857	57.000000	52.000000	
0.000100	0.958581	1.001949	58.000000	52.000000	
0.000100	0.955045	1.005146	62.000000	51.000000	
0.000100	0.996084	1.015183	55.000000	46.000000	
0.000100	0.969861	0.992657	66.000000	61.000000	
0.000100	0.956410	1.007448	61.000000	48.000000	
0.000100	0.992192	1.042744	52.000000	45.000000	
0.000100	0.930440	1.005571	63.000000	57.000000	
0.000100	0.944224	1.002849	62.000000	58.000000	
0.000100	0.982546	0.990009	57.000000	62.000000	
0.000100	0.980368	1.013486	61.000000	53.000000	
0.000099	0.963643	1.051312	58.000000	47.000000	
0.000099	0.949238	1.026717	63.000000	51.000000	
0.000099	0.937807	0.996464	66.000000	55.000000	
0.000099	0.945233	1.016701	62.000000	58.000000	
0.000099	1.001335	1.019411	53.000000	54.000000	
0.000099	0.953981	1.005052	64.000000	53.000000	
0.000099	0.944241	1.053841	64.000000	48.000000	
0.000099	0.947440	1.016186	62.000000	54.000000	
0.000099	0.959708	0.993214	57.000000	57.000000	
0.000099	0.953241	1.021289	63.000000	54.000000	
0.000099	0.961018	0.960599	61.000000	66.000000	
0.000099	0.949839	0.997344	61.000000	58.000000	
0.000099	0.953341	1.001887	52.000000	55.000000	
0.000099	0.992193	0.969977	61.000000	57.000000	
0.000099	0.982314	1.022208	52.000000	39.000000	
0.000099	0.929340	1.050220	65.000000	42.000000	
0.000099	0.981805	0.989454	58.000000	58.000000	
0.000098	0.977310	0.959359	55.000000	59.000000	
0.000098	0.929059	0.935044	59.000000	66.000000	
0.000098	0.947702	0.986699	62.000000	58.000000	
0.000098	0.941935	1.023794	59.000000	48.000000	
0.000098	0.973146	1.002005	59.000000	53.000000	
0.000098	0.962182	1.012704	57.000000	55.000000	
0.000098	0.938006	1.014606	64.000000	59.000000	
0.000098	0.925317	1.000962	70.000000	53.000000	
0.000098	0.946715	1.009155	64.000000	54.000000	
0.000098	0.960620	1.002519	58.000000	56.000000	
0.000098	0.988648	0.952679	56.000000	58.000000	
0.000097	0.916875	0.981572	61.000000	57.000000	
0.000097	0.969046	0.996856	52.000000	60.000000	
0.000097	0.939771	0.967180	60.000000	64.000000	
0.000097	0.927479	0.965705	64.000000	55.000000	
0.000097	0.926403	0.956571	62.000000	63.000000	
0.000097	0.951394	0.999733	57.000000	50.000000	
0.000097	0.949072	1.003212	59.000000	58.000000	
0.000097	0.951870	0.954960	58.000000	59.000000	
0.000097	0.924290	0.983039	67.000000	60.000000	
0.000096	0.929435	0.936667	67.000000	61.000000	
0.000096	0.932778	0.957013	70.000000	61.000000	
0.000096	0.930801	0.964367	67.000000	60.000000	
0.000096	0.886482	0.999516	74.000000	58.000000	
0.000096	0.904883	0.995237	67.000000	56.000000	
0.000096	0.927160	0.950599	67.000000	63.000000	
0.000096	0.897629	0.995082	72.000000	53.000000	
0.000096	0.908070	0.950342	62.000000	66.000000	
0.000096	0.922451	0.953471	68.000000	62.000000	
0.000095	0.919977	0.968889	67.000000	62.000000	
0.000095	0.904476	0.973271	70.000000	59.000000	
0.000095	0.917094	0.974111	70.000000	64.000000	
0.000095	0.884589	0.955393	74.000000	61.000000	
0.000095	0.933598	0.932042	65.000000	69.000000	
0.000095	0.895518	0.978812	70.000000	65.000000	
0.000095	0.894413	0.923551	70.000000	70.000000	
0.000094	0.921987	0.931533	65.000000	69.000000	
0.000094	0.899422	0.958134	68.000000	63.000000	
0.000094	0.900289	0.970985	71.000000	65.000000	
0.000094	0.896038	0.944864	69.000000	65.000000	
0.000094	0.964112	0.953036	64.000000	61.000000	
0.000094	0.888818	0.967460	73.000000	60.000000	
0.000094	0.912505	0.994973	68.000000	59.000000	
0.000093	0.905798	0.970266	70.000000	60.000000	
0.000093	0.861185	0.936442	75.000000	63.000000	
0.000093	0.895395	0.965356	68.000000	56.000000	
0.000093	0.946177	0.922391	64.000000	68.000000	
0.000093	0.858882	0.979472	81.000000	61.000000	
0.000093	0.860864	0.983221	73.000000	61.000000	
0.000092	0.885573	0.954606	72.000000	67.000000	
0.000092	0.889621	0.931035	69.000000	67.000000	
0.000092	0.896263	0.915756	68.000000	73.000000	
0.000092	0.886565	0.923811	68.000000	70.000000	
0.000092	0.913322	0.934945	71.000000	67.000000	
0.000092	0.870267	0.939899	69.000000	69.000000	
0.000091	0.884597	0.935552	74.000000	66.000000	
0.000091	0.871179	0.962164	73.000000	62.000000	
0.000091	0.885642	0.910457	68.000000	71.000000	
0.000091	0.846302	0.954334	73.000000	64.000000	
0.000091	0.891647	0.891800	71.000000	73.000000	
0.000090	0.917251	0.948896	67.000000	67.000000	
0.000090	0.873604	0.912756	70.000000	68.000000	
0.000090	0.872532	0.954743	71.000000	68.000000	
0.000090	0.819208	0.927513	84.000000	71.000000	
0.000090	0.891500	0.919328	75.000000	71.000000	
0.000090	0.887772	0.903625	72.000000	73.000000	
0.000089	0.842953	0.893677	73.000000	70.000000	
0.000089	0.915290	0.957402	66.000000	67.000000	
0.000089	0.886758	0.908307	71.000000	69.000000	
0.000089	0.867246	0.974043	72.000000	61.000000	
0.000089	0.854732	0.910603	74.000000	75.000000	
0.000088	0.850093	0.922185	71.000000	69.000000	
0.000088	0.867584	0.995361	72.000000	59.000000	
0.000088	0.921901	0.907185	67.000000	72.000000	
0.000088	0.836073	0.930836	76.000000	67.000000	
0.000088	0.880285	0.917164	78.000000	70.000000	
0.000087	0.830948	0.926706	72.000000	70.000000	
0.000087	0.872894	0.929903	72.000000	70.000000	
0.000087	0.840115	0.876334	74.000000	72.000000	
0.000087	0.859936	0.945044	81.000000	66.000000	
0.000086	0.868133	0.932127	69.000000	63.000000	
0.000086	0.872443	0.918548	74.000000	70.000000	
0.000086	0.851335	0.914361	72.000000	65.000000	
0.000086	0.847634	0.874097	70.000000	75.000000	
0.000086	0.820980	0.931588	77.000000	70.000000	
0.000085	0.880979	0.904652	69.000000	75.000000	
0.000085	0.838407	0.884839	77.000000	72.000000	
0.000085	0.883828	0.909042	78.000000	67.000000	
0.000085	0.855405	0.964467	65.000000	62.000000	
0.000084	0.843188	0.879151	77.000000	74.000000	
0.000084	0.842540	0.900443	76.000000	78.000000	
0.000084	0.899230	0.909767	71.000000	67.000000	
0.000084	0.874363	0.947540	73.000000	66.000000	
0.000084	0.862828	0.909234	74.000000	67.000000	
0.000083	0.855825	0.914135	73.000000	74.000000	
0.000083	0.827819	0.895703	82.000000	73.000000	
0.000083	0.837107	0.914911	72.000000	71.000000	
0.000083	0.844290	0.893697	81.000000	75.000000	
0.000082	0.858237	0.944998	70.000000	67.000000	
0.000082	0.888346	0.936726	78.000000	67.000000	
0.000082	0.826778	0.885472	83.000000	73.000000	
0.000082	0.846069	0.927915	74.000000	74.000000	
0.000081	0.862483	0.885966	72.000000	71.000000	
0.000081	0.803783	0.908008	78.000000	71.000000	
0.000081	0.849376	0.890476	74.000000	73.000000	
0.000081	0.827644	0.886529	77.000000	76.000000	
0.000080	0.835065	0.883571	76.000000	75.000000	
0.000080	0.880815	0.890602	74.000000	74.000000	
0.000080	0.900359	0.899840	69.000000	68.000000	
0.000080	0.798111	0.904720	80.000000	74.000000	
0.000079	0.835168	0.919613	77.000000	68.000000	
0.000079	0.850827	0.867373	79.000000	79.000000	
0.000079	0.813824	0.894495	79.000000	67.000000	
0.000079	0.881961	0.914294	65.000000	66.000000	
0.000078	0.879810	0.955672	73.000000	63.000000	
0.000078	0.777081	0.840741	81.000000	78.000000	
0.000078	0.846824	0.878526	78.000000	76.000000	
0.000078	0.851478	0.866406	74.000000	76.000000	
0.000077	0.871256	0.855363	73.000000	79.000000	
0.000077	0.801394	0.902784	82.000000	72.000000	
0.000077	0.842762	0.899811	81.000000	74.000000	
0.000077	0.846542	0.920661	74.000000	65.000000	
0.000076	0.906002	0.871385	68.000000	78.000000	
0.000076	0.824552	0.880161	71.000000	74.000000	
0.000076	0.841161	0.876388	71.000000	78.000000	
0.000075	0.809042	0.912656	79.000000	69.000000	
0.000075	0.775614	0.911581	80.000000	76.000000	
0.000075	0.787257	0.842689	83.000000	82.000000	
0.000075	0.827683	0.890773	76.000000	77.000000	
0.000074	0.838031	0.895095	73.000000	68.000000	
0.000074	0.912221	0.864000	64.000000	75.000000	
0.000074	0.792993	0.897703	83.000000	67.000000	
0.000074	0.864529	0.901881	74.000000	73.000000	
0.000073	0.852381	0.861611	76.000000	75.000000	
0.000073	0.832491	0.846513	73.000000	82.000000	
0.000073	0.803418	0.867618	86.000000	74.000000	
0.000072	0.866596	0.864842	77.000000	79.000000	
0.000072	0.811917	0.891368	77.000000	77.000000	
0.000072	0.798014	0.888223	79.000000	72.000000	
0.000072	0.840965	0.895124	77.000000	77.000000	
0.000071	0.778881	0.874951	83.000000	75.000000	
0.000071	0.847247	0.878458	76.000000	76.000000	
0.000071	0.803116	0.886473	80.000000	76.000000	
0.000070	0.794950	0.866844	81.000000	75.000000	
0.000070	0.828915	0.913240	82.000000	69.000000	
0.000070	0.860662	0.901795	74.000000	74.000000	
0.000070	0.786176	0.846214	80.000000	75.000000	
0.000069	0.837124	0.903942	80.000000	71.000000	
0.000069	0.835189	0.871502	80.000000	77.000000	
0.000069	0.813167	0.871146	81.000000	82.000000	
0.000068	0.879211	0.898543	74.000000	72.000000	
0.000068	0.844031	0.902096	76.000000	71.000000	
0.000068	0.825733	0.883372	79.000000	72.000000	
0.000068	0.842951	0.863559	81.000000	81.000000	
0.000067	0.817407	0.896001	80.000000	68.000000	
0.000067	0.799785	0.901162	85.000000	72.000000	
0.000067	0.850948	0.869242	78.000000	73.000000	
0.000066	0.745698	0.875568	84.000000	73.000000	
0.000066	0.816611	0.883187	78.000000	78.000000	
0.000066	0.784048	0.884222	83.000000	74.000000	
0.000065	0.777384	0.850438	80.000000	80.000000	
0.000065	0.811565	0.891551	82.000000	75.000000	
0.000065	0.793419	0.887295	80.000000	73.000000	
0.000065	0.842360	0.849469	79.000000	77.000000	
0.000064	0.795687	0.880424	82.000000	75.000000	
0.000064	0.795032	0.891230	80.000000	73.000000	
0.000064	0.849376	0.843289	77.000000	75.000000	
0.000063	0.840773	0.880581	78.000000	79.000000	
0.000063	0.797860	0.923564	86.000000	71.000000	
0.000063	0.783675	0.887607	83.000000	71.000000	
0.000062	0.826097	0.891227	82.000000	79.000000	
0.000062	0.808661	0.837998	82.000000	83.000000	
0.000062	0.800218	0.871489	76.000000	77.000000	
0.000062	0.835899	0.857720	73.000000	78.000000	
0.000061	0.836960	0.872894	81.000000	79.000000	
0.000061	0.811313	0.847027	79.000000	72.000000	
0.000061	0.828505	0.840230	81.000000	74.000000	
0.000060	0.822476	0.830856	78.000000	76.000000	
0.000060	0.809144	0.870890	88.000000	77.000000	
0.000060	0.787085	0.858322	81.000000	79.000000	
0.000059	0.844863	0.862755	74.000000	78.000000	
0.000059	0.802749	0.840937	77.000000	79.000000	
0.000059	0.753944	0.924911	88.000000	67.000000	
0.000058	0.788537	0.856749	78.000000	76.000000	
0.000058	0.785161	0.898782	79.000000	71.000000	
0.000058	0.878440	0.882283	76.000000	72.000000	
0.000058	0.781961	0.861755	83.000000	74.000000	
0.000057	0.825026	0.821964	77.000000	84.000000	
0.000057	0.790191	0.878271	86.000000	77.000000	
0.000057	0.806487	0.881048	83.000000	77.000000	
0.000056	0.801672	0.852547	86.000000	79.000000	
0.000056	0.790644	0.880064	81.000000	74.000000	
0.000056	0.774048	0.780448	86.000000	87.000000	
0.000055	0.854535	0.893008	76.000000	70.000000	
0.000055	0.831603	0.869593	76.000000	75.000000	
0.000055	0.813507	0.894822	80.000000	73.000000	
0.000054	0.751765	0.856209	86.000000	78.000000	
0.000054	0.789042	0.908132	85.000000	64.000000	
0.000054	0.767007	0.848196	82.000000	81.000000	
0.000053	0.791365	0.885613	77.000000	77.000000	
0.000053	0.742738	0.851845	85.000000	83.000000	
0.000053	0.756451	0.848739	84.000000	78.000000	
0.000053	0.828803	0.886175	80.000000	70.000000	
0.000052	0.796303	0.860473	78.000000	79.000000	
0.000052	0.858212	0.860408	79.000000	78.000000	
0.000052	0.789416	0.888147	77.000000	76.000000	
0.000051	0.804517	0.845403	82.000000	75.000000	
0.000051	0.814559	0.846752	80.000000	77.000000	
0.000051	0.853232	0.860369	78.000000	79.000000	
0.000050	0.843794	0.864548	79.000000	74.000000	
0.000050	0.792404	0.856615	79.000000	75.000000	
0.000050	0.805771	0.815706	84.000000	85.000000	
0.000049	0.807357	0.815368	80.000000	84.000000	
0.000049	0.777750	0.846772	82.000000	85.000000	
0.000049	0.735963	0.830309	87.000000	83.000000	
0.000048	0.805141	0.834057	75.000000	83.000000	
0.000048	0.835240	0.831308	75.000000	80.000000	
0.000048	0.817520	0.773402	77.000000	81.000000	
0.000048	0.728350	0.866135	88.000000	79.000000	
0.000047	0.766657	0.829019	86.000000	79.000000	
0.000047	0.798117	0.832491	85.000000	79.000000	
0.000047	0.824355	0.859095	84.000000	72.000000	
0.000046	0.805693	0.841764	81.000000	75.000000	
0.000046	0.797006	0.880953	81.000000	75.000000	
0.000046	0.748068	0.882197	91.000000	73.000000	
0.000045	0.783286	0.900640	79.000000	73.000000	
0.000045	0.881799	0.889857	74.000000	76.000000	
0.000045	0.705760	0.874984	97.000000	76.000000	
0.000044	0.867791	0.838472	77.000000	84.000000	
0.000044	0.785974	0.787298	84.000000	87.000000	
0.000044	0.771185	0.876868	87.000000	67.000000	
0.000043	0.767233	0.868474	85.000000	73.000000	
0.000043	0.822680	0.866726	80.000000	81.000000	
0.000043	0.800118	0.858697	87.000000	77.000000	
0.000043	0.816328	0.840147	79.000000	86.000000	
0.000042	0.791345	0.766951	86.000000	87.000000	
0.000042	0.807462	0.839943	82.000000	78.000000	
0.000042	0.820240	0.806161	80.000000	82.000000	
0.000041	0.683440	0.850716	89.000000	76.000000	
0.000041	0.863921	0.811262	72.000000	88.000000	
0.000041	0.788843	0.828039	87.000000	79.000000	
0.000040	0.818015	0.847431	82.000000	76.000000	
0.000040	0.739965	0.878648	86.000000	76.000000	
0.000040	0.716998	0.813295	84.000000	80.000000	
0.000039	0.791255	0.876435	84.000000	76.000000	
0.000039	0.802159	0.831822	83.000000	81.000000	
0.000039	0.842770	0.802818	78.000000	81.000000	
