Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.378727	1.367743	15.500000	92.000000	
0.001000	1.333680	1.325266	85.699997	92.000000	
0.001000	1.294399	1.282591	92.000000	92.000000	
0.000999	1.282022	1.264346	92.000000	92.000000	
0.000999	1.255149	1.257538	92.000000	92.000000	
0.000998	1.226460	1.223463	92.000000	92.000000	
0.000998	1.197160	1.183182	92.000000	92.000000	
0.000997	1.162733	1.168978	92.000000	92.000000	
0.000996	1.153444	1.134107	92.000000	92.000000	
0.000995	1.143607	1.137523	92.000000	92.000000	
0.000994	1.126605	1.104854	92.000000	92.000000	
0.000993	1.093577	1.074727	92.000000	92.000000	
0.000991	1.076386	1.058867	92.000000	92.000000	
0.000990	1.057676	1.044069	92.000000	92.000000	
0.000988	1.037953	1.028700	92.000000	92.000000	
0.000986	1.009843	1.004397	92.000000	92.000000	
0.000984	1.002438	1.008236	92.000000	92.000000	
0.000982	0.983017	0.982731	92.000000	92.000000	
0.000980	0.974483	0.977842	92.000000	92.000000	
0.000978	0.951182	0.962485	92.000000	92.000000	
0.000976	0.948262	0.941359	92.000000	92.000000	
0.000973	0.940980	0.951394	92.000000	92.000000	
0.000970	0.922864	0.939012	92.000000	92.000000	
0.000968	0.920965	0.926593	92.000000	92.000000	
0.000965	0.913697	0.934521	92.000000	92.000000	
0.000962	0.906128	0.900157	92.000000	92.000000	
0.000959	0.893618	0.886464	92.000000	92.000000	
0.000956	0.884708	0.901121	92.000000	92.000000	
0.000952	0.887766	0.888308	92.000000	92.000000	
0.000949	0.879540	0.871729	92.000000	92.000000	
0.000946	0.873907	0.861900	92.000000	92.000000	
0.000942	0.866034	0.868493	92.000000	92.000000	
0.000938	0.846208	0.855447	92.000000	92.000000	
0.000934	0.845818	0.857253	92.000000	92.000000	
0.000930	0.844250	0.848436	92.000000	92.000000	
0.000926	0.830886	0.858406	92.000000	92.000000	
0.000922	0.826125	0.841886	92.000000	92.000000	
0.000918	0.827427	0.839132	92.000000	92.000000	
0.000914	0.822205	0.824478	92.000000	92.000000	
0.000909	0.818610	0.822463	92.000000	92.000000	
0.000905	0.816134	0.830092	92.000000	92.000000	
0.000900	0.801829	0.815417	92.000000	92.000000	
0.000895	0.802259	0.819062	92.000000	92.000000	
0.000890	0.798156	0.803300	92.000000	92.000000	
0.000885	0.799004	0.802315	92.000000	92.000000	
0.000880	0.794556	0.802794	92.000000	92.000000	
0.000875	0.791437	0.797099	92.000000	92.000000	
0.000870	0.784475	0.794836	92.000000	92.000000	
0.000864	0.788173	0.789043	92.000000	92.000000	
0.000859	0.778109	0.794452	92.000000	92.000000	
0.000854	0.783378	0.785901	92.000000	92.000000	
0.000848	0.776907	0.781383	92.000000	92.000000	
0.000842	0.774491	0.780149	92.000000	92.000000	
0.000837	0.768973	0.777859	92.000000	92.000000	
0.000831	0.764210	0.781455	92.000000	92.000000	
0.000825	0.761769	0.773721	92.000000	92.000000	
0.000819	0.767243	0.766968	92.000000	92.000000	
0.000813	0.759264	0.769010	92.000000	92.000000	
0.000806	0.763719	0.766759	92.000000	92.000000	
0.000800	0.751057	0.772675	92.000000	92.000000	
0.000794	0.757046	0.756566	92.000000	92.000000	
0.000788	0.756273	0.757942	92.000000	92.000000	
0.000781	0.752981	0.755834	92.000000	92.000000	
0.000775	0.752555	0.759949	92.000000	92.000000	
0.000768	0.748457	0.754566	92.000000	92.000000	
0.000761	0.753453	0.751906	92.000000	92.000000	
0.000755	0.746077	0.750559	92.000000	92.000000	
0.000748	0.743778	0.747923	92.000000	92.000000	
0.000741	0.742712	0.748650	92.000000	92.000000	
0.000734	0.747059	0.745795	92.000000	92.000000	
0.000727	0.737834	0.742716	92.000000	92.000000	
0.000720	0.736999	0.747126	92.000000	92.000000	
0.000713	0.737632	0.738390	92.000000	92.000000	
0.000706	0.741612	0.735960	92.000000	92.000000	
0.000699	0.733045	0.742722	92.000000	92.000000	
0.000691	0.735730	0.732512	92.000000	92.000000	
0.000684	0.731765	0.739933	92.000000	92.000000	
0.000677	0.730666	0.738269	92.000000	92.000000	
0.000669	0.734387	0.732008	92.000000	92.000000	
0.000662	0.732761	0.739571	92.000000	92.000000	
0.000655	0.731970	0.736825	92.000000	92.000000	
0.000647	0.724601	0.737456	92.000000	92.000000	
0.000640	0.728101	0.735752	92.000000	92.000000	
0.000632	0.734683	0.734837	92.000000	92.000000	
0.000624	0.734951	0.730125	92.000000	92.000000	
0.000617	0.727338	0.731543	92.000000	92.000000	
0.000609	0.727770	0.732070	92.000000	92.000000	
0.000601	0.729443	0.733182	92.000000	92.000000	
0.000594	0.727264	0.729636	92.000000	92.000000	
0.000586	0.727822	0.726565	92.000000	92.000000	
0.000578	0.725042	0.726743	92.000000	92.000000	
0.000570	0.727246	0.726657	92.000000	92.000000	
0.000563	0.726634	0.719018	92.000000	92.000000	
0.000555	0.719963	0.728428	92.000000	92.000000	
0.000547	0.721524	0.721766	92.000000	92.000000	
0.000539	0.725399	0.721291	92.000000	92.000000	
0.000531	0.718530	0.721356	92.000000	92.000000	
0.000524	0.719997	0.717319	92.000000	92.000000	
0.000516	0.722245	0.720315	92.000000	92.000000	
0.000508	0.721206	0.726067	92.000000	92.000000	
0.000500	0.725086	0.727223	92.000000	92.000000	
0.000492	0.725816	0.715755	92.000000	92.000000	
0.000484	0.722375	0.719351	92.000000	92.000000	
0.000476	0.715410	0.715401	92.000000	92.000000	
0.000469	0.724565	0.717604	92.000000	92.000000	
0.000461	0.719957	0.719545	92.000000	92.000000	
0.000453	0.718534	0.710993	92.000000	92.000000	
0.000445	0.715930	0.720957	92.000000	92.000000	
0.000437	0.722037	0.717242	92.000000	92.000000	
0.000430	0.714371	0.712452	92.000000	92.000000	
0.000422	0.717034	0.711935	92.000000	92.000000	
0.000414	0.715435	0.713613	92.000000	92.000000	
0.000406	0.720645	0.712081	92.000000	92.000000	
0.000399	0.709589	0.709817	92.000000	92.000000	
0.000391	0.715298	0.715512	92.000000	92.000000	
0.000383	0.712818	0.716435	92.000000	92.000000	
0.000376	0.715005	0.710480	92.000000	92.000000	
0.000368	0.708804	0.716821	92.000000	92.000000	
0.000361	0.711686	0.715695	92.000000	92.000000	
0.000353	0.712610	0.710629	92.000000	92.000000	
0.000346	0.713993	0.709651	92.000000	92.000000	
0.000338	0.714948	0.715506	92.000000	92.000000	
0.000331	0.713986	0.718285	92.000000	92.000000	
0.000323	0.713122	0.712663	92.000000	92.000000	
0.000316	0.710851	0.710182	92.000000	92.000000	
0.000309	0.712409	0.709166	92.000000	92.000000	
0.000301	0.711241	0.714519	92.000000	92.000000	
0.000294	0.712841	0.705413	92.000000	92.000000	
0.000287	0.704647	0.711240	92.000000	92.000000	
