Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	1.049468	1.189339	56.000000	47.000000	
0.000976	1.044667	1.152357	55.666668	49.000000	
0.000905	1.009361	1.128472	57.444443	50.000000	
0.000794	1.001362	1.116847	57.222221	50.000000	
0.000655	0.979349	1.106610	57.000000	50.000000	
0.000500	0.981775	1.092204	56.111111	51.000000	
0.000346	0.967875	1.089233	56.888889	51.000000	
0.000206	0.990427	1.086898	55.333332	51.000000	
0.000096	0.941037	1.096315	56.555557	50.000000	
0.000025	0.978585	1.096146	55.666668	50.000000	
