Learning Rate	F-Train Loss	F-Test Loss	F-Train Acc.	F-Test Acc.	G-Train Loss	G-Test Loss	G-Train Acc.	G-Test Acc.	
0.001000	0.900426	0.466937	87.555557	99.750000	12.293439	1.625301	51.481480	20.000000	
0.001000	0.661179	0.454921	91.129631	98.833336	10.644572	1.678889	67.037041	5.000000	
0.001000	0.548343	0.435731	91.287041	99.333336	9.196652	1.837667	70.000000	0.000000	
0.000999	0.499094	0.494373	91.851852	96.833336	8.054684	2.068885	70.925926	0.000000	
0.000999	0.465387	0.409782	92.759262	98.833336	7.474144	2.172810	74.629631	0.000000	
0.000998	0.417233	0.416434	93.935188	97.916664	6.594065	2.375540	75.185188	1.666667	
0.000998	0.413948	0.425389	94.750000	98.333336	6.413327	2.570553	74.074074	1.666667	
0.000997	0.402002	0.390344	95.648148	98.166664	6.685868	2.572666	73.888885	3.333333	
0.000996	0.363105	0.440245	95.037041	91.583336	5.460709	2.668324	76.111115	3.333333	
0.000995	0.434224	0.466969	89.277779	90.000000	5.837008	2.699142	74.629631	0.000000	
0.000994	0.412812	0.491354	90.092590	90.833336	5.664912	2.833986	75.000000	1.666667	
0.000993	0.415343	0.491591	89.907410	92.333336	5.461884	3.147463	75.370369	6.666667	
0.000991	0.382998	0.494274	90.740738	90.833336	5.328919	2.921967	74.629631	1.666667	
0.000990	0.374198	0.434434	91.712959	94.333336	5.517182	2.788814	77.407410	3.333333	
0.000988	0.378725	0.443646	91.953705	95.583336	5.085523	3.209771	76.666664	13.333333	
0.000986	0.324379	0.444102	92.944443	94.166664	4.908721	2.734921	75.925926	0.000000	
0.000984	0.332845	0.437500	93.629631	94.500000	4.767033	3.169915	78.148148	6.666667	
0.000982	0.337915	0.428666	92.555557	95.166664	4.706034	2.889844	76.296295	3.333333	
0.000980	0.305570	0.425491	94.796295	97.083336	4.712554	2.871098	77.592590	0.000000	
0.000978	0.326518	0.426341	95.111115	96.416664	5.640325	2.899464	75.185188	1.666667	
0.000976	0.278847	0.427583	95.787041	96.666664	4.700978	2.794414	76.296295	0.000000	
0.000973	0.294229	0.428661	96.092590	95.666664	4.920118	2.814229	77.037041	1.666667	
0.000970	0.291233	0.410021	96.074074	97.416664	4.760195	2.881621	77.962959	3.333333	
0.000968	0.249682	0.393209	96.731483	98.333336	3.919700	3.127786	77.777779	6.666667	
0.000965	0.257787	0.400936	97.685188	98.166664	4.114800	2.844695	77.037041	1.666667	
0.000962	0.271175	0.411824	97.638885	98.750000	4.723282	3.467435	76.666664	15.000000	
0.000959	0.259041	0.421935	97.944443	98.333336	4.574999	2.942788	76.666664	0.000000	
0.000956	0.265090	0.412043	97.925926	97.833336	4.631529	3.297165	76.481483	8.333333	
0.000952	0.225443	0.415382	98.675926	98.250000	3.910504	3.314833	78.333336	10.000000	
0.000949	0.252500	0.403631	98.731483	98.250000	4.501140	3.048192	74.814812	5.000000	
0.000946	0.246454	0.407748	98.768517	98.166664	4.606544	2.772933	76.851852	0.000000	
0.000942	0.232499	0.405203	98.814812	98.166664	4.596940	2.882006	76.851852	0.000000	
0.000938	0.273432	0.399223	98.731483	98.500000	5.045126	2.640122	76.666664	0.000000	
0.000934	0.257072	0.414688	98.703705	98.166664	4.660492	2.880435	76.481483	3.333333	
0.000930	0.258965	0.391805	98.962959	98.750000	4.649200	2.731817	77.592590	0.000000	
0.000926	0.256063	0.394007	98.898148	98.666664	4.452155	2.705880	78.148148	0.000000	
