Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	1.067893	1.197071	60.000000	80.000000	
0.000976	1.037245	1.165936	67.777779	90.000000	
0.000905	0.995807	1.138412	71.111115	90.000000	
0.000794	0.952458	1.115054	70.000000	90.000000	
0.000655	0.967045	1.097184	70.000000	80.000000	
0.000500	0.935185	1.084264	70.000000	80.000000	
0.000346	0.925835	1.075624	75.555557	80.000000	
0.000206	0.915204	1.071380	75.555557	80.000000	
0.000096	0.917633	1.069289	73.333336	80.000000	
0.000025	0.896091	1.068703	75.555557	80.000000	
