Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	1.072218	1.207277	46.666668	43.000000	
0.000976	1.035280	1.197225	48.888889	43.000000	
0.000905	1.039236	1.167071	47.111111	45.000000	
0.000794	1.036860	1.147921	47.444443	46.000000	
0.000655	0.994719	1.138194	50.777779	46.000000	
0.000500	1.005241	1.131158	49.222221	46.000000	
0.000346	1.034855	1.126753	45.111111	46.000000	
0.000206	0.953724	1.114254	53.000000	47.000000	
0.000096	0.980551	1.113007	50.333332	47.000000	
0.000025	1.004543	1.112740	48.000000	47.000000	
